Order_ID,Order_Date,Customer_ID,Customer_Age,Customer_Gender,Region,Country,Category,Product_Name,Price,Quantity,Discount,Revenue,Profit,Payment_Method,
O00057,15-12-2023,C0378,21,Female,West,USA,Electronics,Headphones,496.83,5.00,0.19,2012.16,228.18,Debit Card,
O00058,08-11-2023,C0175,33,Male,West,Canada,Furniture,Cabinet,456.01,4.00,0.09,1659.88,410.21,Cash,
O00059,09-11-2023,C1165,57,Male,North,UK,Furniture,Sofa,663.82,2.00,0.07,1234.71,293.86,Debit Card,
O00060,03-01-2023,C0837,46,Female,East,USA,Furniture,Sofa,709.89,4.00,0.02,2782.77,440.67,PayPal,
O00061,22-07-2023,C0871,25,Male,South,India,Furniture,Desk,69.04,3.00,0.18,169.84,51.98,PayPal,
O00062,25-03-2024,C0255,47,Female,West,India,Office Supplies,Stapler,89.64,1.00,0.27,65.44,18.56,PayPal,
O00063,27-01-2023,C0188,32,Male,East,Canada,Electronics,Smartphone,475.80,4.00,0.27,1389.34,201.97,Cash,
O00064,18-05-2024,C1985,23,Female,East,Germany,Clothing,Jacket,673.43,2.00,0.10,1212.17,331.43,PayPal,
O00065,15-02-2024,C1667,53,Male,West,USA,Clothing,Jacket,330.04,4.00,0.26,976.92,299.16,Credit Card,
O00066,18-04-2024,C0847,21,Male,East,Canada,Office Supplies,Stapler,762.39,2.00,0.08,1402.80,186.23,PayPal,
O00067,24-03-2024,C1804,62,Female,North,USA,Furniture,Chair,317.64,1.00,0.17,263.64,32.51,Credit Card,
O00068,17-04-2024,C1940,25,Male,West,Australia,Clothing,Jacket,421.34,4.00,0.29,1196.61,192.57,Debit Card,
O00069,28-01-2024,C0391,56,Male,North,India,Office Supplies,Printer Paper,934.91,5.00,0.08,4300.59,432.82,PayPal,
O00070,16-05-2024,C1773,27,Female,West,India,Clothing,Shoes,460.79,3.00,0.26,1022.95,353.12,Debit Card,
O00071,28-01-2024,C0479,44,Male,East,Australia,Office Supplies,Stapler,392.22,2.00,0.15,666.77,72.85,PayPal,
O00072,13-04-2023,C1791,46,Male,West,USA,Furniture,Cabinet,872.22,2.00,0.02,1709.55,504.97,PayPal,
O00073,13-12-2023,C1277,62,Female,North,India,Office Supplies,Printer Paper,630.53,4.00,0.26,1866.37,203.39,Credit Card,
O00074,29-08-2023,C1293,61,Female,South,Australia,Electronics,Headphones,978.55,1.00,0.13,851.34,232.84,Credit Card,
O00075,17-02-2023,C0665,21,Female,East,India,Office Supplies,Pen Set,251.76,4.00,0.17,835.84,249.19,Debit Card,
O00076,29-06-2023,C0162,57,Female,South,Germany,Furniture,Chair,466.54,3.00,0.14,1203.67,321.03,Cash,
O00077,22-10-2023,C1388,52,Male,North,Germany,Clothing,Jacket,642.55,4.00,0.21,2030.46,434.94,PayPal,
O00078,23-07-2023,C0788,48,Male,South,Germany,Clothing,Jacket,992.77,3.00,0.01,2948.53,906.70,Cash,
O00079,09-10-2023,C0017,54,Male,West,India,Furniture,Sofa,226.81,2.00,0.19,367.43,99.00,Debit Card,
O00080,10-04-2023,C1851,58,Male,East,Germany,Electronics,Tablet,735.04,1.00,0.27,536.58,97.49,Cash,
O00081,29-06-2023,C0412,26,Female,East,UK,Clothing,Shoes,967.71,3.00,0.22,2264.44,418.19,Credit Card,
O00082,24-04-2024,C1973,22,Male,South,Australia,Office Supplies,Printer Paper,99.40,4.00,0.00,397.60,93.10,Cash,
O00083,13-01-2024,C1378,65,Female,West,Australia,Clothing,T-Shirt,678.09,4.00,0.01,2685.24,862.12,PayPal,
O00084,15-08-2023,C1327,22,Female,East,Australia,Office Supplies,Notebook,148.38,1.00,0.09,135.03,30.13,Credit Card,
O00085,29-08-2023,C1818,52,Male,West,Germany,Clothing,Shoes,591.47,2.00,0.27,863.55,227.74,Cash,
O00086,22-02-2024,C1924,35,Male,East,UK,Office Supplies,Stapler,951.05,3.00,0.03,2767.56,751.17,PayPal,
O00087,04-03-2023,C0816,35,Male,North,Germany,Electronics,Smartphone,645.29,5.00,0.29,2290.78,258.04,PayPal,
O00088,07-09-2023,C0258,54,Male,North,Canada,Furniture,Chair,814.92,2.00,0.10,1466.86,200.80,Credit Card,
O00089,11-10-2023,C1759,27,Male,East,UK,Electronics,Laptop,140.49,3.00,0.24,320.32,51.09,PayPal,
O00090,17-01-2023,C0357,34,Male,South,Australia,Office Supplies,Notebook,748.21,4.00,0.13,2603.77,496.04,Credit Card,
O00091,07-04-2024,C1032,32,Male,East,Germany,Electronics,Laptop,998.60,4.00,0.13,3475.13,441.31,Cash,
O00092,17-03-2023,C1842,23,Female,South,USA,Furniture,Sofa,628.07,5.00,0.16,2637.89,478.24,PayPal,
O00093,09-04-2024,C1036,56,Female,North,Australia,Electronics,Smartphone,435.77,2.00,0.12,766.96,235.35,Cash,
O00094,01-03-2024,C1495,24,Female,West,India,Clothing,Jacket,954.06,4.00,0.02,3739.92,1151.68,Credit Card,
O00095,18-03-2024,C0198,65,Female,South,Canada,Electronics,Tablet,673.31,4.00,0.11,2396.98,638.40,Cash,
O00096,22-02-2023,C1984,36,Female,East,USA,Furniture,Chair,660.17,2.00,0.25,990.25,185.70,PayPal,
O00097,28-04-2023,C1562,35,Male,West,Canada,Electronics,Tablet,38.66,3.00,0.21,91.62,16.24,PayPal,
O00098,26-12-2023,C0013,29,Male,West,USA,Furniture,Desk,100.84,5.00,0.06,473.95,97.14,PayPal,
O00099,11-06-2023,C0758,37,Female,North,USA,Furniture,Chair,756.89,1.00,0.20,605.51,101.74,Cash,
O00100,12-05-2024,C1244,46,Female,East,UK,Electronics,Tablet,435.61,3.00,0.20,1045.46,259.57,PayPal,
O00101,16-02-2023,C0452,43,Male,North,UK,Clothing,Jeans,769.68,3.00,0.09,2101.23,273.15,Cash,
O00102,16-03-2024,C0360,26,Female,South,Canada,Clothing,T-Shirt,403.10,1.00,0.13,350.70,75.38,Credit Card,
O00103,17-11-2023,C1180,45,Female,West,India,Electronics,Headphones,30.65,3.00,0.05,87.35,29.43,Cash,
O00104,06-01-2024,C0181,45,Male,South,Germany,Office Supplies,Notebook,401.81,3.00,0.22,940.24,146.11,Debit Card,
O00105,20-03-2023,C1046,58,Male,South,India,Clothing,Jeans,243.91,2.00,0.08,448.79,64.35,Debit Card,
O00106,19-03-2023,C0363,58,Female,West,Canada,Office Supplies,Printer Paper,865.60,3.00,0.05,2466.96,288.81,Cash,
O00107,07-11-2023,C1631,35,Male,East,Canada,Electronics,Tablet,467.13,1.00,0.02,457.79,140.96,Credit Card,
O00108,03-04-2023,C1260,56,Female,West,Canada,Electronics,Headphones,909.96,5.00,0.20,3639.84,656.56,Cash,
O00109,28-05-2024,C0309,21,Female,North,India,Electronics,Smartphone,48.75,4.00,0.30,136.50,31.53,Debit Card,
O00110,08-01-2024,C0764,36,Female,West,India,Electronics,Tablet,75.25,1.00,0.17,62.46,12.28,PayPal,
O00111,03-06-2023,C0683,23,Male,East,India,Office Supplies,Pen Set,599.09,1.00,0.09,545.17,105.86,PayPal,
O00112,11-05-2023,C1373,62,Male,West,Canada,Clothing,T-Shirt,368.97,2.00,0.29,523.94,97.16,Cash,
O00113,16-07-2023,C0464,26,Male,North,India,Electronics,Laptop,665.31,5.00,0.04,3193.49,620.11,Debit Card,
O00114,05-07-2023,C1703,62,Male,West,USA,Office Supplies,Printer Paper,679.60,2.00,0.29,965.03,243.81,Cash,
O00115,28-08-2023,C1094,33,Female,West,UK,Clothing,Shoes,467.06,3.00,0.23,1078.91,243.54,Cash,
O00116,15-06-2023,C1673,30,Male,East,USA,Office Supplies,Printer Paper,559.00,1.00,0.21,441.61,101.12,Credit Card,
O00117,19-10-2023,C0172,28,Female,West,Canada,Furniture,Cabinet,100.80,2.00,0.25,151.20,48.56,Credit Card,
O00118,29-02-2024,C0110,43,Female,South,Germany,Electronics,Tablet,232.29,3.00,0.28,501.75,155.44,PayPal,
O00119,30-05-2023,C0282,20,Female,West,Australia,Furniture,Cabinet,454.12,1.00,0.27,331.51,34.73,Debit Card,
O00120,03-06-2023,C1124,64,Female,North,India,Furniture,Sofa,130.63,2.00,0.13,227.30,67.84,Cash,
O00121,06-03-2023,C0228,49,Male,South,Australia,Furniture,Sofa,434.95,5.00,0.11,1935.53,469.69,Debit Card,
O00122,29-03-2023,C1073,41,Male,North,Germany,Office Supplies,Notebook,639.31,3.00,0.08,1764.50,183.61,Credit Card,
O00123,20-12-2023,C0494,64,Male,East,UK,Electronics,Tablet,550.55,2.00,0.25,825.82,223.94,Cash,
O00124,06-07-2023,C1662,26,Male,West,USA,Clothing,Jeans,53.37,2.00,0.27,77.92,13.94,PayPal,
O00125,11-06-2024,C0816,52,Female,East,USA,Furniture,Sofa,363.40,1.00,0.26,268.92,49.21,Credit Card,
O00126,12-01-2024,C0895,43,Female,West,India,Furniture,Cabinet,695.15,3.00,0.28,1501.52,345.08,Credit Card,
O00127,10-03-2024,C0162,45,Male,East,India,Electronics,Laptop,334.64,3.00,0.09,913.57,228.99,Cash,
O00128,20-06-2023,C1413,46,Female,West,USA,Clothing,Shoes,281.81,1.00,0.02,276.17,71.63,PayPal,
O00129,09-06-2024,C1641,65,Male,North,UK,Office Supplies,Notebook,134.97,2.00,0.23,207.85,39.82,Cash,
O00130,03-02-2023,C1240,27,Female,East,India,Office Supplies,Notebook,578.18,5.00,0.11,2572.90,459.51,PayPal,
O00131,13-09-2023,C1968,25,Male,South,Germany,Office Supplies,Notebook,269.16,3.00,0.21,637.91,98.01,PayPal,
O00132,17-05-2024,C0410,25,Male,North,Germany,Furniture,Cabinet,997.29,3.00,0.20,2393.50,663.92,PayPal,
O00133,04-11-2023,C1744,28,Male,East,Canada,Furniture,Desk,985.28,2.00,0.07,1832.62,409.60,PayPal,
O00134,13-01-2024,C0958,53,Male,North,USA,Clothing,Shoes,999.60,4.00,0.16,3358.66,981.71,Credit Card,
O00135,09-05-2023,C1992,38,Male,West,Germany,Clothing,Jeans,879.18,5.00,0.19,3560.68,518.05,Debit Card,
O00136,19-03-2024,C1030,21,Male,South,India,Furniture,Chair,329.43,2.00,0.10,592.97,198.78,PayPal,
O00137,22-03-2023,C0514,30,Female,South,Australia,Clothing,T-Shirt,507.55,2.00,0.18,832.38,204.07,Debit Card,
O00138,12-12-2023,C1726,54,Male,North,USA,Electronics,Tablet,654.62,5.00,0.12,2880.33,748.16,Cash,
O00139,24-10-2023,C1315,37,Female,South,Australia,Office Supplies,Printer Paper,459.01,1.00,0.05,436.06,88.92,Cash,
O00140,28-07-2023,C0697,56,Male,East,Australia,Clothing,Jacket,975.62,2.00,0.23,1502.45,343.68,Credit Card,
O00141,23-11-2023,C0496,47,Male,East,Germany,Furniture,Chair,105.84,3.00,0.28,228.61,72.25,Cash,
O00142,12-09-2023,C1972,28,Female,East,UK,Furniture,Cabinet,996.01,4.00,0.15,3386.43,599.86,Credit Card,
O00143,03-04-2023,C1936,43,Female,South,UK,Clothing,T-Shirt,60.04,4.00,0.18,196.93,61.19,Cash,
O00144,20-10-2023,C1100,18,Male,West,UK,Clothing,Jacket,766.22,3.00,0.01,2275.67,256.67,Debit Card,
O00145,07-01-2024,C1134,36,Male,West,Canada,Office Supplies,Printer Paper,827.06,5.00,0.20,3308.24,429.09,Credit Card,
O00146,08-02-2024,C0765,39,Female,South,UK,Office Supplies,Notebook,54.85,2.00,0.21,86.66,26.08,Cash,
O00147,02-06-2023,C1242,50,Male,East,Canada,Clothing,Jeans,399.03,5.00,0.22,1556.22,272.04,PayPal,
O00148,03-06-2024,C1697,50,Female,East,Germany,Electronics,Tablet,337.93,1.00,0.29,239.93,59.00,Credit Card,
O00149,30-04-2024,C0544,59,Male,North,Canada,Office Supplies,Pen Set,528.99,5.00,0.23,2036.61,397.24,Debit Card,
O00150,02-02-2023,C1173,62,Male,South,USA,Office Supplies,Printer Paper,424.59,4.00,0.21,1341.70,271.82,Cash,
O00151,05-03-2023,C1446,26,Male,East,Australia,Office Supplies,Stapler,320.62,2.00,0.14,551.47,128.65,PayPal,
O00152,28-09-2023,C1250,48,Male,South,India,Clothing,Jeans,942.07,3.00,0.23,2176.18,601.12,Cash,
O00153,21-11-2023,C0983,40,Female,East,USA,Office Supplies,Stapler,820.19,2.00,0.09,1492.75,256.62,Credit Card,
O00154,21-12-2023,C1893,46,Female,West,UK,Furniture,Sofa,933.69,3.00,0.04,2689.03,682.80,Debit Card,
O00155,06-09-2023,C0104,60,Male,South,USA,Electronics,Headphones,336.99,4.00,0.03,1307.52,382.70,Credit Card,
O00156,11-06-2023,C0834,59,Female,West,Australia,Furniture,Sofa,327.96,1.00,0.27,239.41,29.30,Debit Card,
O00157,08-02-2023,C1871,29,Female,South,USA,Office Supplies,Stapler,194.45,3.00,0.26,431.68,44.17,Credit Card,
O00158,10-12-2023,C0583,47,Female,South,Canada,Office Supplies,Printer Paper,200.88,1.00,0.10,180.79,51.12,PayPal,
O00159,10-07-2023,C0029,65,Female,East,Canada,Furniture,Chair,614.84,4.00,0.25,1844.52,422.06,Credit Card,
O00160,15-02-2024,C1371,24,Male,South,Germany,Clothing,Jeans,16.76,4.00,0.07,62.35,17.98,PayPal,
O00161,06-11-2023,C1193,64,Male,East,Australia,Clothing,Jeans,71.50,1.00,0.14,61.49,8.60,PayPal,
O00162,01-05-2023,C1309,36,Female,South,UK,Furniture,Cabinet,161.65,5.00,0.11,719.34,198.17,Cash,
O00163,12-08-2023,C1561,33,Male,West,Canada,Clothing,T-Shirt,918.07,1.00,0.02,899.71,213.15,Debit Card,
O00164,03-06-2023,C0337,38,Female,North,Australia,Furniture,Cabinet,100.03,5.00,0.13,435.13,49.57,Debit Card,
O00165,09-06-2024,C0851,47,Male,West,Australia,Clothing,T-Shirt,401.99,1.00,0.22,313.55,76.69,Credit Card,
O00166,09-03-2024,C0706,62,Male,North,USA,Office Supplies,Notebook,294.22,2.00,0.23,453.10,132.06,Cash,
O00167,19-01-2024,C1826,42,Female,West,Germany,Electronics,Smartphone,657.00,3.00,0.04,1892.16,658.87,Cash,
O00168,11-05-2023,C1491,32,Male,North,India,Office Supplies,Stapler,536.61,2.00,0.07,998.09,186.18,PayPal,
O00169,13-07-2023,C1920,64,Male,North,Australia,Office Supplies,Notebook,248.26,1.00,0.03,240.81,26.10,Credit Card,
O00170,08-09-2023,C1517,20,Female,West,UK,Furniture,Desk,148.73,3.00,0.07,414.96,136.56,PayPal,
O00171,25-11-2023,C0486,37,Male,South,Germany,Clothing,Jacket,70.35,5.00,0.26,260.30,85.35,Cash,
O00172,22-05-2024,C0097,40,Female,East,Australia,Office Supplies,Stapler,157.73,4.00,0.06,593.06,139.06,Debit Card,
O00173,19-08-2023,C0616,63,Male,West,USA,Office Supplies,Stapler,561.71,2.00,0.12,988.61,161.88,PayPal,
O00174,22-03-2023,C1889,46,Female,North,Canada,Furniture,Desk,275.78,5.00,0.18,1130.70,360.02,Debit Card,
O00175,11-08-2023,C0982,31,Female,East,USA,Furniture,Chair,962.46,1.00,0.22,750.72,216.64,Debit Card,
O00176,29-07-2023,C0813,33,Female,East,Germany,Office Supplies,Printer Paper,315.34,3.00,0.15,804.12,180.38,Credit Card,
O00177,25-04-2024,C1560,38,Male,East,India,Office Supplies,Notebook,566.90,2.00,0.22,884.36,92.02,Cash,
O00178,30-10-2023,C0313,30,Female,South,Germany,Furniture,Cabinet,555.14,3.00,0.08,1532.19,467.93,Cash,
O00179,16-04-2024,C0345,64,Female,South,UK,Office Supplies,Pen Set,917.73,5.00,0.30,3212.05,1089.88,Credit Card,
O00180,18-03-2023,C1936,60,Male,North,Germany,Furniture,Chair,77.29,2.00,0.00,154.58,35.00,PayPal,
O00181,03-03-2023,C1266,58,Female,West,USA,Electronics,Headphones,21.73,5.00,0.22,84.75,19.83,PayPal,
O00182,18-01-2023,C1029,62,Female,South,USA,Electronics,Smartphone,248.56,5.00,0.16,1043.95,317.16,PayPal,
O00183,11-02-2024,C0162,41,Female,West,Canada,Furniture,Chair,306.97,1.00,0.20,245.58,77.25,Credit Card,
O00184,06-04-2023,C0831,42,Female,West,USA,Electronics,Smartphone,91.86,4.00,0.19,297.63,54.41,Credit Card,
O00185,24-06-2024,C1883,20,Male,South,Australia,Office Supplies,Printer Paper,56.10,1.00,0.21,44.32,7.54,Credit Card,
O00186,03-07-2023,C1903,38,Male,South,Canada,Furniture,Cabinet,929.59,3.00,0.05,2649.33,424.21,Cash,
O00187,06-12-2023,C0787,65,Male,North,Canada,Clothing,T-Shirt,106.71,2.00,0.25,160.06,29.63,Cash,
O00188,01-12-2023,C0061,58,Female,West,Germany,Furniture,Sofa,557.51,4.00,0.13,1940.13,523.69,Cash,
O00189,29-03-2023,C1582,57,Female,South,Australia,Electronics,Laptop,275.29,4.00,0.21,869.92,224.85,Cash,
O00190,21-11-2023,C0739,24,Male,North,India,Office Supplies,Printer Paper,763.73,1.00,0.04,733.18,107.67,Cash,
O00191,08-06-2024,C0836,24,Male,North,India,Electronics,Tablet,865.08,1.00,0.09,787.22,155.04,Credit Card,
O00192,06-09-2023,C1172,51,Male,West,UK,Furniture,Sofa,308.12,4.00,0.04,1183.18,167.78,PayPal,
O00193,07-03-2024,C0614,48,Male,East,India,Furniture,Cabinet,597.87,2.00,0.14,1028.34,137.67,Credit Card,
O00194,10-02-2024,C0681,57,Female,East,Germany,Clothing,Shoes,817.32,5.00,0.04,3923.14,706.82,Debit Card,
O00195,05-05-2024,C0644,29,Female,East,India,Office Supplies,Pen Set,332.63,3.00,0.24,758.40,150.34,Credit Card,
O00196,24-07-2023,C1213,52,Male,North,Australia,Office Supplies,Pen Set,444.07,3.00,0.25,999.16,117.19,Cash,
O00197,26-05-2024,C0286,58,Female,South,India,Furniture,Cabinet,791.19,1.00,0.13,688.34,171.73,Cash,
O00198,02-06-2024,C1892,62,Female,North,India,Electronics,Laptop,771.26,3.00,0.05,2198.09,556.49,Cash,
O00199,06-12-2023,C1978,45,Male,North,USA,Clothing,Jeans,515.57,5.00,0.17,2139.62,581.80,Debit Card,
O00200,01-04-2024,C0767,43,Female,South,India,Electronics,Headphones,113.50,4.00,0.28,326.88,39.70,Debit Card,
O00201,23-12-2023,C0639,39,Female,South,Canada,Office Supplies,Printer Paper,481.40,4.00,0.22,1501.97,320.09,Credit Card,
O00202,04-11-2023,C0092,63,Male,North,India,Electronics,Smartphone,930.62,2.00,0.15,1582.05,376.49,PayPal,
O00203,12-03-2024,C1963,47,Male,West,Australia,Furniture,Chair,644.07,4.00,0.12,2267.13,644.65,Debit Card,
O00204,05-04-2024,C1213,45,Female,North,Australia,Furniture,Chair,285.56,1.00,0.17,237.01,71.07,Debit Card,
O00205,10-01-2024,C0668,30,Female,North,India,Office Supplies,Printer Paper,601.00,5.00,0.12,2644.40,339.96,PayPal,
O00206,13-04-2024,C1265,29,Female,North,Australia,Furniture,Sofa,126.68,3.00,0.04,364.84,70.53,Debit Card,
O00207,07-06-2024,C0796,44,Male,West,Germany,Furniture,Cabinet,639.15,2.00,0.17,1060.99,235.98,Debit Card,
O00208,11-07-2023,C0645,46,Male,East,USA,Office Supplies,Pen Set,203.18,4.00,0.29,577.03,130.62,Cash,
O00209,23-02-2024,C1403,49,Female,West,Germany,Furniture,Desk,569.74,2.00,0.09,1036.93,174.94,PayPal,
O00210,22-06-2023,C1599,47,Female,North,Canada,Electronics,Tablet,777.36,3.00,0.16,1958.95,566.52,Cash,
O00211,12-08-2023,C0871,24,Male,East,USA,Office Supplies,Printer Paper,355.09,1.00,0.13,308.93,107.66,Debit Card,
O00212,03-08-2023,C1661,65,Female,West,UK,Furniture,Chair,815.39,1.00,0.17,676.77,157.73,Debit Card,
O00213,28-11-2023,C1442,36,Female,East,Canada,Electronics,Smartphone,963.14,4.00,0.28,2773.84,965.63,Debit Card,
O00214,16-05-2023,C0512,27,Female,South,Australia,Office Supplies,Stapler,150.75,3.00,0.19,366.32,70.99,Credit Card,
O00215,06-04-2023,C0826,50,Female,East,Germany,Office Supplies,Printer Paper,586.14,1.00,0.22,457.19,98.12,PayPal,
O00216,06-03-2023,C1630,52,Female,South,Germany,Furniture,Cabinet,275.85,3.00,0.10,744.80,182.09,Cash,
O00217,18-12-2023,C1832,61,Male,North,USA,Office Supplies,Notebook,132.99,2.00,0.13,231.40,23.18,Cash,
O00218,27-07-2023,C1411,26,Female,South,India,Electronics,Tablet,257.89,3.00,0.20,618.94,162.30,Credit Card,
O00219,10-02-2024,C1282,37,Male,West,Australia,Electronics,Laptop,11.08,4.00,0.02,43.43,10.79,Cash,
